"cd_geouf","cd_geocmu","regiao","uf","estado","municipio","bioma","arcodesmat","matopiba","mun_ha","pol_ha","pct_areapo","area_ha","classe","year"
"17","1712801","NORTE","TO","TOCANTINS","MAURILÂNDIA DO TOCANTINS","CERRADO","1","1","73810.50000000000","73810.54875200000","1.00000066050","28203.76958205","4","2018"
"17","1713700","NORTE","TO","TOCANTINS","MONTE SANTO DO TOCANTINS","CERRADO","1","1","109155.30000000000","109155.31414100000","1.00000012955","24001.96490018","3","2018"
"17","1712801","NORTE","TO","TOCANTINS","MAURILÂNDIA DO TOCANTINS","CERRADO","1","1","73810.50000000000","73810.54875200000","1.00000066050","11058.74598691","12","2018"
"17","1712801","NORTE","TO","TOCANTINS","MAURILÂNDIA DO TOCANTINS","CERRADO","1","1","73810.50000000000","73810.54875200000","1.00000066050","1869.48866866","13","2018"
"17","1712801","NORTE","TO","TOCANTINS","MAURILÂNDIA DO TOCANTINS","CERRADO","1","1","73810.50000000000","73810.54875200000","1.00000066050","9963.46166433","15","2018"
"17","1713700","NORTE","TO","TOCANTINS","MONTE SANTO DO TOCANTINS","CERRADO","1","1","109155.30000000000","109155.31414100000","1.00000012955","30761.33384061","4","2018"
"17","1712801","NORTE","TO","TOCANTINS","MAURILÂNDIA DO TOCANTINS","CERRADO","1","1","73810.50000000000","73810.54875200000","1.00000066050","33.16986358","25","2018"
"17","1714302","NORTE","TO","TOCANTINS","NAZARÉ","CERRADO","1","1","39590.70000000000","39590.68633720000","0.99999965490","25.23627700","24","2018"
"17","1715002","NORTE","TO","TOCANTINS","NOVA ROSALÂNDIA","CERRADO","1","1","51630.80000000000","2996.41817690000","0.05803547838","10.29123825","25","2018"
"17","1717909","NORTE","TO","TOCANTINS","PONTE ALTA DO TOCANTINS","CERRADO","0","1","649112.50000000000","649112.48427999998","0.99999997578","8547.60568255","25","2018"
"17","1713700","NORTE","TO","TOCANTINS","MONTE SANTO DO TOCANTINS","CERRADO","1","1","109155.30000000000","109155.31414100000","1.00000012955","71.78641160","24","2018"
"17","1713700","NORTE","TO","TOCANTINS","MONTE SANTO DO TOCANTINS","CERRADO","1","1","109155.30000000000","109155.31414100000","1.00000012955","608.68199691","25","2018"
"17","1713205","NORTE","TO","TOCANTINS","MIRACEMA DO TOCANTINS","CERRADO","1","1","265609.00000000000","265444.49345800001","0.99938064395","9047.47251587","33","2018"
"17","1713205","NORTE","TO","TOCANTINS","MIRACEMA DO TOCANTINS","CERRADO","1","1","265609.00000000000","265444.49345800001","0.99938064395","40032.34018366","3","2018"
"17","1713205","NORTE","TO","TOCANTINS","MIRACEMA DO TOCANTINS","CERRADO","1","1","265609.00000000000","265444.49345800001","0.99938064395","88874.60772899","4","2018"
"17","1713205","NORTE","TO","TOCANTINS","MIRACEMA DO TOCANTINS","CERRADO","1","1","265609.00000000000","265444.49345800001","0.99938064395","24523.40271325","12","2018"
"17","1713205","NORTE","TO","TOCANTINS","MIRACEMA DO TOCANTINS","CERRADO","1","1","265609.00000000000","265444.49345800001","0.99938064395","92179.24192668","15","2018"
"17","1713205","NORTE","TO","TOCANTINS","MIRACEMA DO TOCANTINS","CERRADO","1","1","265609.00000000000","265444.49345800001","0.99938064395","8731.06801682","19","2018"
"21","2107001","NORDESTE","MA","MARANHÃO","MONTES ALTOS","CERRADO","1","1","148833.60000000001","148833.64946200000","1.00000033233","12.89342217","19","2018"
"17","1714880","NORTE","TO","TOCANTINS","NOVA OLINDA","CERRADO","1","1","156618.39999999999","108540.03679899999","0.69302225536","168.22098174","19","2018"
"17","1714880","NORTE","TO","TOCANTINS","NOVA OLINDA","CERRADO","1","1","156618.39999999999","108540.03679899999","0.69302225536","6501.89006320","25","2018"
"17","1718451","NORTE","TO","TOCANTINS","PUGMIL","CERRADO","1","1","40183.40000000000","40008.90356710000","0.99565749954","95.78920703","24","2018"
